"$IoNode";"$IoItem";"$Textkey";"$Class";"$Groupkey";"$Location";"$Active";"$Priority";"$LogEnabled";"$PlantID";"$PlantType";"$EquipmentID";"$Devicename";"Cfg_Inst_Structure"
"ESP-Core";".ESAlarms.PS[1].WasteLevel";"T02_PLCALS_0116";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].Interlock_1";"T02_PLCALS_0117";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].Interlock_2";"T02_PLCALS_0118";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].CleanNr";"T02_PLCALS_0119";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].LoadNr";"T02_PLCALS_0120";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].ReflowNr";"T02_PLCALS_0121";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].ManualPurgeNr";"T02_PLCALS_0122";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].CleanTimeout";"T02_PLCALS_0123";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].LoadTimeout";"T02_PLCALS_0124";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].ReflowTimeout";"T02_PLCALS_0125";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].AutoStart";"T02_PLCALS_0126";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].BLV";"T02_PLCALS_0127";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[2].General";"T02_PLCALS_0128";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[2].WarnDisabled";"T02_PLCALS_0129";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[2].ColCode";"T02_PLCALS_0130";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
